Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C15, C18, C20, C25, C26, C34, C35, C39, C4, C41, C42, C48, C49, C57, C66",0402,18,0.1uF,
"C10, C11",0805,2,10uF,
"C14, C16, C21, C36, C37, C43, C44, C50, C51, C54, C6, C63, C64",0603,13,10uF,
"C17, C19, C52, C58, C60",0603,5,1uF,
"C2, C23, C24, C3, C5, C55, C56, C7",0402,8,10pF,
C22,0603,1,4.7uF,
"C27, C28, C29, C30, C31, C32, C33, C38, C40, C45, C46, C47",0603,12,18nF,
"C53, C59, C61",0402,3,470pF,
C62,0603,1,20pF,
C65,C_Radial_D10.0mm_H12.5mm_P5.00mm,1,22uF,
"C8, C9",0603,2,2.2uF,
"D1, D6",D_SMA,2,SS14,
"D10, D11, D12, D13, D14, D8, D9",0603,7,LEDs,
"D2, D7",D_SMB_TVS,2,SMBJ5.0CA,
D3,D_SMA,1,SMAJ58A,
D4,D_MELF,1,SM360,
D5,D_SOD-123,1,1N4148W,
F1,FUSE_1812L05060_LTF,1,1812L110PR,
F2,FUSE_1812L05060_LTF,1,1812L050/60MR,
"F3, F4, F5",MOV14D471K,3,MOV14D471K,
"IC1, IC2",SOT230P700X180-4N,2,LD1117-3.3V,
J1,MagJack_PoE_RJ45,1,RJ45_PoE,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,
J3,PinHeader_1x06_P1.00mm_Vertical,1,Pin Header,
"J4, J5, J6",TE_282834-2,3,Screw_Terminal_01x02,
J7,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",1,Screw_Conn,
"L1, L2, L3",FUSE_MF-USMFLAB,3,22uH,
L4,0603,1,FerriteBead,
"R1, R2",0603,2,5.1k,
R10,0603,1,52.3k,
"R11, R12, R13, R3, R31, R61, R78",0603,7,10k,
"R14, R15, R16, R17, R18, R19",0603,6,2.4,
"R20, R21, R22, R23, R24, R25, R26, R27, R35, R58, R59, R60",0603,12,1k,
"R28, R29, R30, R32, R33, R34, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R55, R56, R57",RES_09FCT00_VIS,21,240k,
"R4, R5",0402,2,270,
"R48, R49, R50, R51, R6, R62, R63, R64, R7, R73, R74, R75, R76, R77, R79, R85, R86",0402,17,33,
"R52, R53, R54, R65, R66, R67, R68, R69, R70, R71",0402,10,510,
R72,0603,1,2.2k,
R8,0603,1,24.9k,
R80,0603,1,12.1k,
"R81, R82, R83, R84",0402,4,50,
R9,0603,1,63.4,
"SW1, SW2",SW_SPDT_PCM12,2,SW_SPDT,
U1,Converter_DCDC_Murata_NMAxxxxDC_THT,1,NMA0505DC,
U2,SOT-23-6,1,WE-TVS-824015043,
U3,SOT-23-6,1,MCP16331x-xCH,
U4,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
U5,TQFP48_7x7MC_MCH,1,ATM90E32AS-AU-Y,
U6,SOIC-16W_7.5x10.3mm_P1.27mm,1,Si8660ED-AS,
U7,SOIC-16W_7.5x10.3mm_P1.27mm,1,Si8641ED-B-IS,
U8,LAN8720A,1,LAN8720A,
U9,DDA8_3P1X2P4_TEX-M,1,TPS2378DDAR,
Y1,Crystal_SMD_2.0x1.6mm,1,16MHz,
Y2,Crystal_SMD_2.0x1.6mm,1,25MHz,
